date,close
5/17/2019,138.61
5/18/2019,138.21
5/19/2019,136.91
5/20/2019,136.82
5/21/2019,137.2
5/22/2019,139.05
5/23/2019,138.73
5/24/2019,139.79
5/25/2019,139.97
5/26/2019,142.09
5/27/2019,142.01
5/28/2019,141.28
5/29/2019,141.95
5/30/2019,141.2
5/31/2019,139.84
6/1/2019,140.39
6/2/2019,139.65
6/3/2019,139.2
6/4/2019,139.9
6/5/2019,137.83
6/6/2019,137.52
6/7/2019,138.52
6/8/2019,138.02
6/9/2019,136.52
6/10/2019,135.98
6/11/2019,135.21
6/12/2019,135.58
6/13/2019,135.57
6/14/2019,136.14
6/15/2019,136.18
6/16/2019,135.57
6/17/2019,137.17
6/18/2019,137.71
6/19/2019,138.98
6/20/2019,139.79
6/21/2019,138.88
6/22/2019,138.7
6/23/2019,138.57
6/24/2019,136.61
6/25/2019,136.91
6/26/2019,138.1
6/27/2019,137.29
6/28/2019,138.44
6/29/2019,137.17
6/30/2019,137.6
7/1/2019,138.02
7/2/2019,139.41
7/3/2019,139.18
7/4/2019,138.56
7/5/2019,138.06
7/6/2019,138.24
7/7/2019,139.09
7/8/2019,138.77
7/9/2019,138.48
7/10/2019,138.35
7/11/2019,136.64
7/12/2019,135.87
7/13/2019,136.11
7/14/2019,136.2
7/15/2019,136.6
7/16/2019,135.42
7/17/2019,136.35
7/18/2019,135.69
7/19/2019,136.38
7/20/2019,134.31
7/21/2019,134.45
7/22/2019,134.16
7/23/2019,132
7/24/2019,132.4
7/25/2019,132.05
7/26/2019,133
7/27/2019,132.88
7/28/2019,132.88
7/29/2019,134.2
7/30/2019,133.08
7/31/2019,131.64
8/1/2019,130.33
8/2/2019,128.99
8/3/2019,128.23
8/4/2019,127.03
8/5/2019,128.8
8/6/2019,128.8
8/7/2019,130.69
8/8/2019,129.09
8/9/2019,128.04
8/10/2019,129.36
8/11/2019,128.28
8/12/2019,129.75
8/13/2019,129.71
8/14/2019,128.93
8/15/2019,129.96
8/16/2019,127.01
8/17/2019,127.83
8/18/2019,125.72
8/19/2019,127.75
8/20/2019,129.05
8/21/2019,127.27
8/22/2019,127.41
8/23/2019,126.71
8/24/2019,122.84
8/25/2019,128.09
8/26/2019,128.27
8/27/2019,127.61
8/28/2019,130.42
8/29/2019,129.14
8/30/2019,133
8/31/2019,147.84
9/1/2019,147.1
9/2/2019,146.5
9/3/2019,145.26
9/4/2019,145.43
9/5/2019,145.91
9/6/2019,146.03
9/7/2019,146.21
9/8/2019,146.9
9/9/2019,145.85
9/10/2019,146.44
9/11/2019,143.22
9/12/2019,141.37
9/13/2019,142.23
9/14/2019,141.99
9/15/2019,146.45
9/16/2019,147.73
9/17/2019,145.99
9/18/2019,144.5
9/19/2019,144.25
9/20/2019,144.68
9/21/2019,145.62
9/22/2019,145.34
9/23/2019,145.3
9/24/2019,144.75
9/25/2019,142.57
9/26/2019,142.2
9/27/2019,140.68
9/28/2019,140.82
9/29/2019,139.99
9/30/2019,140.75
10/1/2019,137.55
10/2/2019,136.97
10/3/2019,138.47
10/4/2019,137.47
10/5/2019,138.93
10/6/2019,138.68
10/7/2019,139.05
10/8/2019,139.5
10/9/2019,139.46
10/10/2019,136.56
10/11/2019,133.95
10/12/2019,133.87
10/13/2019,133.84
10/14/2019,137.73
10/15/2019,139.2
10/16/2019,139.39
10/17/2019,139.1
10/18/2019,139.35
10/19/2019,139.03
10/20/2019,140.48
10/21/2019,139.69
10/22/2019,138.17
10/23/2019,138.22
10/24/2019,138.16
10/25/2019,138.64
10/26/2019,140.47
10/27/2019,142.88
10/28/2019,141.98
10/29/2019,140.46
10/30/2019,140.54
10/31/2019,139.96
11/1/2019,139.49
11/2/2019,139.89
11/3/2019,139.36
11/4/2019,138.51
11/5/2019,137.21
11/6/2019,137.32
11/7/2019,136.87
11/8/2019,135.86
11/9/2019,133.72
11/10/2019,134.69
11/11/2019,134.95
11/12/2019,134.86
11/13/2019,134.32
11/14/2019,134.92
11/15/2019,135.95
11/16/2019,135.11
11/17/2019,134.61
11/18/2019,135.35
11/19/2019,136.88
11/20/2019,134.47
11/21/2019,132.48
11/22/2019,130.43
11/23/2019,129.5
11/24/2019,130.22
11/25/2019,130.75
11/26/2019,131.2
11/27/2019,131.17
11/28/2019,131.46
11/29/2019,132.02
11/30/2019,131.95
12/1/2019,131.25
12/2/2019,132.64
12/3/2019,132.52
12/4/2019,132.17
12/5/2019,131.55
12/6/2019,130.28
12/7/2019,128.62
12/8/2019,129.36
12/9/2019,126.63
12/10/2019,125.85
12/11/2019,125.94
12/12/2019,127.8
12/13/2019,129.11
12/14/2019,124.69
12/15/2019,125.93
12/16/2019,127.76
12/17/2019,126.24
12/18/2019,127.38
12/19/2019,126.05
12/20/2019,125.75
12/21/2019,125
12/22/2019,122.71
12/23/2019,121.58
12/24/2019,121.34
12/25/2019,122
12/26/2019,121.61
12/27/2019,122.35
12/28/2019,122.59
12/29/2019,122.84
12/30/2019,121.45
12/31/2019,122.04
1/1/2020,122.57
1/2/2020,121.32
1/3/2020,122.61
1/4/2020,122.41
1/5/2020,122.63
1/6/2020,122.54
1/7/2020,122.66
1/8/2020,124.06
1/9/2020,123.33
1/10/2020,122.79
1/11/2020,121.48
1/12/2020,121.95
1/13/2020,121.26
1/14/2020,119.62
1/15/2020,120.97
1/16/2020,119.4
1/17/2020,121.47
1/18/2020,122.25
1/19/2020,123.45
1/20/2020,122.91
1/21/2020,123.72
1/22/2020,124.24
1/23/2020,123.85
1/24/2020,125.35
1/25/2020,125.13
1/26/2020,126.06
1/27/2020,127.24
1/28/2020,125.35
1/29/2020,123.51
1/30/2020,122.61
1/31/2020,123.59
2/1/2020,124.19
2/2/2020,123.03
2/3/2020,123.5
2/4/2020,126.01
2/5/2020,126.49
2/6/2020,128.27
2/7/2020,128.01
2/8/2020,126.76
2/9/2020,126.19
2/10/2020,126.83
2/11/2020,126.66
2/12/2020,127.55
2/13/2020,127.72
2/14/2020,130.54
2/15/2020,131.76
2/16/2020,130.62
2/17/2020,130.43
2/18/2020,129.63
2/19/2020,130.25
2/20/2020,129.48
2/21/2020,128.1
2/22/2020,130.71
2/23/2020,130.41
2/24/2020,128.35
2/25/2020,124.56
2/26/2020,128.15
2/27/2020,127.45
2/28/2020,127.21
2/29/2020,127.39
3/1/2020,125.1
3/2/2020,127.38
3/3/2020,131.19
3/4/2020,131.21
3/5/2020,130.24
3/6/2020,133.68
3/7/2020,133.06
3/8/2020,132.32
3/9/2020,134.35
3/10/2020,132.63
3/11/2020,133.8
3/12/2020,132.06
3/13/2020,129.04
3/14/2020,128.22
3/15/2020,129.79
3/16/2020,128.82
3/17/2020,127.28
3/18/2020,129.88
3/19/2020,131.67
3/20/2020,132.07
3/21/2020,132.02
3/22/2020,129.91
3/23/2020,129.91
3/24/2020,130.87
3/25/2020,133.15
3/26/2020,131.23
3/27/2020,129.67
3/28/2020,129.96
3/29/2020,130.27
3/30/2020,129.53
3/31/2020,126.36
4/1/2020,131.42
4/2/2020,131.83
4/3/2020,130.39
4/4/2020,137.68
4/5/2020,140.02
4/6/2020,138.19
4/7/2020,142.43
4/8/2020,143.68
4/9/2020,145.33
4/10/2020,144.4
4/11/2020,142.07
4/12/2020,141.83
4/13/2020,148.14
4/14/2020,147.36
4/15/2020,146.92
4/16/2020,146.98
4/17/2020,146.86
4/18/2020,145.76
4/19/2020,144.79
4/20/2020,143.97
4/21/2020,144.14
4/22/2020,141.89
4/23/2020,141.71
4/24/2020,140.55
4/25/2020,140.56
4/26/2020,139.23
4/27/2020,139.72
4/28/2020,140.56
4/29/2020,140.57
4/30/2020,140.09
5/1/2020,140.12
5/2/2020,141.06
5/3/2020,141.16
5/4/2020,141.78
5/5/2020,141.8
5/6/2020,142.46
5/7/2020,141.65
5/8/2020,142.89
5/9/2020,142.6
5/10/2020,141.14
5/11/2020,140.59
5/12/2020,140.01
5/13/2020,141.06
5/14/2020,139.67
5/15/2020,139.01
5/16/2020,139.98
5/17/2020,139.33
5/18/2020,139.81
5/19/2020,140.02
5/20/2020,138.1
5/21/2020,138.01
5/22/2020,137.29
5/23/2020,138.34
5/24/2020,137.93
5/25/2020,138
5/26/2020,138.87
5/27/2020,139.1
5/28/2020,139.49
5/29/2020,139.76
5/30/2020,139.56
5/31/2020,140.35
6/1/2020,141.32
6/2/2020,139.77
6/3/2020,139.76
6/4/2020,140.08
6/5/2020,139.93
6/6/2020,139.98
6/7/2020,139.41
6/8/2020,140
6/9/2020,141.78
6/10/2020,141.81
6/11/2020,142.36
6/12/2020,141.64
6/13/2020,143.62
6/14/2020,142.4
6/15/2020,142.04
6/16/2020,140.68
6/17/2020,140.79
6/18/2020,136.12
6/19/2020,136.43
6/20/2020,136.83
6/21/2020,136.65
6/22/2020,133.9
6/23/2020,133.45
6/24/2020,133.22
6/25/2020,133.19
6/26/2020,132.89
6/27/2020,132.1
6/28/2020,131.22
6/29/2020,130.01
6/30/2020,129.47
7/1/2020,129.75
7/2/2020,130.94
7/3/2020,131.17
7/4/2020,131.39
7/5/2020,131.75
7/6/2020,133.22
7/7/2020,135.22
7/8/2020,135.38
7/9/2020,134.45
7/10/2020,134.18
7/11/2020,132.45
7/12/2020,132.63
7/13/2020,133.21
7/14/2020,130.98
7/15/2020,132.19
7/16/2020,130.67
7/17/2020,129.9
7/18/2020,131.03
7/19/2020,132.37
7/20/2020,131.07
7/21/2020,132.21
7/22/2020,131.74
7/23/2020,131.68
7/24/2020,132.89
7/25/2020,132.8
7/26/2020,134.7
7/27/2020,133.45
7/28/2020,132.63
7/29/2020,133.04
7/30/2020,134.17
7/31/2020,133.38
8/1/2020,133.48
8/2/2020,133.1
8/3/2020,133.09
8/4/2020,133.23
8/5/2020,132.27
8/6/2020,132.86
8/7/2020,133.18
8/8/2020,133.35
8/9/2020,132.16
8/10/2020,132.51
8/11/2020,132.72
8/12/2020,131.85
8/13/2020,130.83
8/14/2020,130.95
8/15/2020,131.88
8/16/2020,133.01
8/17/2020,135.31
8/18/2020,136.57
8/19/2020,135.21
8/20/2020,134.46
8/21/2020,132.15
8/22/2020,132.6
8/23/2020,131.86
8/24/2020,132.23
8/25/2020,131.23
8/26/2020,131.55
8/27/2020,132.54
8/28/2020,132.52
8/29/2020,133.64
8/30/2020,132.9
8/31/2020,132.29
9/1/2020,132.64
9/2/2020,133.82
9/3/2020,135.01
9/4/2020,136.34
9/5/2020,136.43
9/6/2020,136.05
9/7/2020,134.91
9/8/2020,134.22
9/9/2020,134.07
9/10/2020,134.35
9/11/2020,133.04
9/12/2020,132.77
9/13/2020,132.02
9/14/2020,131.82
9/15/2020,131.53
9/16/2020,130.55
9/17/2020,130.75
9/18/2020,130.83
9/19/2020,130.36
9/20/2020,130.08
9/21/2020,128.78
9/22/2020,128.25
9/23/2020,127.11
9/24/2020,126.92
9/25/2020,127.53
9/26/2020,127.51
9/27/2020,127.52
9/28/2020,127.26
9/29/2020,127
9/30/2020,126.97
10/1/2020,126.67
10/2/2020,127.77
10/3/2020,126.99
10/4/2020,123.64
10/5/2020,123.2
10/6/2020,122.81
10/7/2020,123.21
10/8/2020,123.25
10/9/2020,123.51
10/10/2020,123.95
10/11/2020,123.33
10/12/2020,123.7
10/13/2020,123.34
10/14/2020,123.47
10/15/2020,123.74
10/16/2020,123.51
10/17/2020,123.43
10/18/2020,122.89
10/19/2020,121.76
10/20/2020,121.87
10/21/2020,121.37
10/22/2020,121.82
10/23/2020,125.72
10/24/2020,124.99
10/25/2020,125.4
10/26/2020,124.22
10/27/2020,124.34
10/28/2020,124.92
10/29/2020,125.05
10/30/2020,124.8
10/31/2020,124.68
11/1/2020,124.69
11/2/2020,124.55
11/3/2020,124.66
11/4/2020,124.92
11/5/2020,125.66
11/6/2020,125.8
11/7/2020,125.48
11/8/2020,125.9
11/9/2020,126.26
11/10/2020,127.25
11/11/2020,128.07
11/12/2020,128.06
11/13/2020,128.46
11/14/2020,128.96
11/15/2020,127.05
11/16/2020,126.68
11/17/2020,126.21
11/18/2020,125.95
11/19/2020,124.1
11/20/2020,123.83
11/21/2020,123.71
11/22/2020,123.79
11/23/2020,123.63
11/24/2020,123.86
11/25/2020,122.21
11/26/2020,122.4
11/27/2020,122.73
11/28/2020,121.7
11/29/2020,119.52
11/30/2020,119.66
12/1/2020,118.86
12/2/2020,118.08
12/3/2020,117.2
12/4/2020,116.36
12/5/2020,115.88
12/6/2020,115.24
12/7/2020,114.08
12/8/2020,113.4
12/9/2020,113.48
12/10/2020,113.4
12/11/2020,113.64
12/12/2020,113.57
12/13/2020,113.23
12/14/2020,113.25
12/15/2020,113.13
12/16/2020,113.38
12/17/2020,111.84
12/18/2020,112.8
12/19/2020,111.76
12/20/2020,113.91
12/21/2020,114.15
12/22/2020,114.2
12/23/2020,114.7
12/24/2020,114.87
12/25/2020,114.6
12/26/2020,114.62
12/27/2020,114.73
12/28/2020,116.16
12/29/2020,116.28
12/30/2020,116.3
12/31/2020,116.86
1/1/2021,115.65
1/2/2021,115.84
1/3/2021,115.21
1/4/2021,115.49
1/5/2021,115.1
1/6/2021,115.91
1/7/2021,115.96
1/8/2021,115.44
1/9/2021,115.31
1/10/2021,115.66
1/11/2021,116.02
1/12/2021,115.88
1/13/2021,115.89
1/14/2021,114.99
1/15/2021,115.89
1/16/2021,115.36
1/17/2021,112.26
1/18/2021,110.99
1/19/2021,111.1
1/20/2021,112.06
1/21/2021,111.94
1/22/2021,111.96
1/23/2021,111.38
1/24/2021,111.3
1/25/2021,112.48
1/26/2021,113.13
1/27/2021,114.13
1/28/2021,113.07
1/29/2021,112.74
1/30/2021,115
1/31/2021,115.36
2/1/2021,116.57
2/2/2021,116.36
2/3/2021,116.32
2/4/2021,116.6
2/5/2021,118.47
2/6/2021,119.54
2/7/2021,120.31
2/8/2021,117.05
2/9/2021,116.66
2/10/2021,115.11
2/11/2021,115.03
2/12/2021,114.86
2/13/2021,115.34
2/14/2021,115.99
2/15/2021,115.33
2/16/2021,115.7
2/17/2021,114.56
2/18/2021,113.96
2/19/2021,113.61
2/20/2021,113.44
2/21/2021,114.87
2/22/2021,114.59
2/23/2021,115.41
2/24/2021,118.49
2/25/2021,117.56
2/26/2021,118.26
2/27/2021,117.97
2/28/2021,117.64
3/1/2021,119.8
3/2/2021,119.24
3/3/2021,118.75
3/4/2021,119.18
3/5/2021,118.82
3/6/2021,118.81
3/7/2021,118.13
3/8/2021,117.27
3/9/2021,119.39
3/10/2021,119.22
3/11/2021,117.78
3/12/2021,118.81
3/13/2021,119.46
3/14/2021,118.91
3/15/2021,117.95
3/16/2021,117.66
3/17/2021,118.25
3/18/2021,118.63
3/19/2021,117.86
3/20/2021,117.61
3/21/2021,119.16
3/22/2021,118.23
3/23/2021,119.47
3/24/2021,119.61
3/25/2021,119.75
3/26/2021,119.32
3/27/2021,119.08
3/28/2021,119.34
3/29/2021,119.47
3/30/2021,119.92
3/31/2021,119.04
4/1/2021,118.57
4/2/2021,118.71
4/3/2021,119.44
4/4/2021,119.13
4/5/2021,119.92
4/6/2021,120.72
4/7/2021,121.31
4/8/2021,120.33
4/9/2021,122.31
4/10/2021,123.22
4/11/2021,123.77
4/12/2021,123.36
4/13/2021,123.43
4/14/2021,123.65
4/15/2021,124.24
4/16/2021,123.86
4/17/2021,123.9
4/18/2021,124.85
4/19/2021,125.4
4/20/2021,125.23
4/21/2021,124.46
4/22/2021,124.77
4/23/2021,125.15
4/24/2021,124.89
4/25/2021,125.03
4/26/2021,125.15
4/27/2021,125.14
4/28/2021,125.25
4/29/2021,123.14
4/30/2021,123
5/1/2021,123.18
5/2/2021,123
5/3/2021,122.92
5/4/2021,122.93
5/5/2021,122.85
5/6/2021,122.51
5/7/2021,122.64
5/8/2021,122.27
5/9/2021,121.29
5/10/2021,121.3
5/11/2021,119.33
5/12/2021,118.23
5/13/2021,116.55
5/14/2021,115.63
5/15/2021,117.38
5/16/2021,116.46
5/17/2021,116.18
5/18/2021,116.54
5/19/2021,115.48
5/20/2021,116.64
5/21/2021,116.41
5/22/2021,117.12
5/23/2021,116.79
5/24/2021,117.01
5/25/2021,117
5/26/2021,115.8
5/27/2021,115.73
5/28/2021,115.77
5/29/2021,114.76
5/30/2021,114.49
5/31/2021,112.78
6/1/2021,112.69
6/2/2021,113.06
6/3/2021,112.9
6/4/2021,113.35
6/5/2021,112.69
6/6/2021,112.16
6/7/2021,112.64
6/8/2021,112.85
6/9/2021,113.59
6/10/2021,113.83
6/11/2021,114.44
6/12/2021,113.56
6/13/2021,114.23
6/14/2021,114.37
6/15/2021,114.67
6/16/2021,113.72
6/17/2021,112.74
6/18/2021,112.88
6/19/2021,112.22
6/20/2021,112.69
6/21/2021,112.75
6/22/2021,112.08
6/23/2021,112.48
6/24/2021,112.77
6/25/2021,112.91
6/26/2021,113.51
6/27/2021,113.32
6/28/2021,113.57
6/29/2021,113.58
6/30/2021,112.68
7/1/2021,110.93
7/2/2021,110.18
7/3/2021,109.84
7/4/2021,109.87
7/5/2021,109.6
7/6/2021,108.97
7/7/2021,109.1
7/8/2021,109.27
7/9/2021,109.42
7/10/2021,108.95
7/11/2021,108.59
7/12/2021,109.19
7/13/2021,108.2
7/14/2021,108.98
7/15/2021,109.14
7/16/2021,108.23
7/17/2021,108.31
7/18/2021,108.5
7/19/2021,107.38
7/20/2021,107.28
7/21/2021,107.5
7/22/2021,106.74
7/23/2021,107.41
7/24/2021,107.76
7/25/2021,107.66
7/26/2021,107.71
7/27/2021,107.14
7/28/2021,106.84
7/29/2021,106.22
7/30/2021,106.74
7/31/2021,106.5
8/1/2021,106.65
8/2/2021,107.04
8/3/2021,107.22
8/4/2021,105.21
8/5/2021,105.78
8/6/2021,106.38
8/7/2021,104.96
8/8/2021,104.08
